timestamp, playerX, playerY, velocityX, velocityY, hammerAngle, hammerAngularVel, isGrounded
9.386, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.402, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.419, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.436, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.452, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.469, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.486, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.502, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.519, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.536, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.552, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.569, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.585, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.602, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.619, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.635, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.652, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.669, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.685, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.702, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.719, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.735, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.752, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.769, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.785, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.819, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.836, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.852, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.869, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.886, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.902, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.919, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.936, -44.281, -2.422, 0.000, 0.000, -26.5, 0.00, 1
9.952, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
9.969, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
9.986, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.002, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.019, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.036, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.052, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.069, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.085, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.102, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.119, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.135, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.152, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.169, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.185, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.202, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.219, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.235, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.252, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.269, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.285, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.302, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.319, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.336, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.352, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.369, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.386, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.402, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.419, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.436, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.452, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.469, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.486, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.502, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.519, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.536, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.552, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.569, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.586, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.602, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.619, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.635, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.652, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.669, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.685, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.702, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.719, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.735, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.752, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.769, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.785, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.802, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.819, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.836, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.852, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.869, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.886, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.902, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.919, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.936, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.952, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.969, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
10.986, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.002, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.019, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.036, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.052, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.069, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.085, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.102, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.119, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.135, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
11.152, -44.281, -2.422, 0.000, 0.000, -26.6, 0.00, 1
