iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size
1,0.0,231.362333,0.0,0.0,0.0,231.362333,632.0,0.03,0.5,1.0,1.092,5460.1217,5000.0
2,0.0,30.40803,0.0,0.0,0.0,30.40803,632.0,0.03,0.5,1.0,-0.4285,-2142.4925,5000.0
3,0.0,20.756602,0.0,0.0,0.0,20.756602,632.0,0.03,0.5,1.0,-0.2245,-1122.273,5000.0
4,0.0,19.850217,0.0,0.0,0.0,19.850217,632.0,0.03,0.5,1.0,-0.1932,-965.8323,5000.0
5,0.0,12.813356,0.0,0.0,0.0,12.813356,632.0,0.03,0.5,1.0,-0.2181,-1090.331,5000.0
6,0.432028,20.905266,-0.362123,2.828302,0.90625,5.658706,1.0,0.027,0.5,,-0.2061,-1030.6894,5000.0
7,0.46464,22.429733,-0.361923,2.978547,0.875,6.072435,1.0,0.0243,0.5,,-0.253,-1264.9464,5000.0
8,0.298459,14.432904,-0.361856,3.734117,0.890625,3.907047,1.0,0.02187,0.5,,-0.1284,-641.76,5000.0
9,0.334663,18.313522,-0.361706,3.831649,0.90625,4.913406,1.0,0.019683,0.5,,-0.1756,-878.1415,5000.0
