timestamp, playerX, playerY, velocityX, velocityY, hammerAngle, hammerAngularVel, isGrounded
9.423, -44.535, -2.287, -0.315, -0.375, -27.1, 0.00, 0
9.441, -44.540, -2.292, -0.226, -0.254, -26.9, 1.87, 0
9.458, -44.541, -2.293, -0.083, -0.022, -26.9, 8.12, 0
9.474, -44.540, -2.290, 0.096, 0.279, -27.0, 17.03, 0
9.491, -44.535, -2.281, 0.299, 0.623, -27.3, 27.64, 0
9.508, -44.526, -2.265, 0.534, 1.012, -27.8, 40.16, 0
9.524, -44.512, -2.242, 0.828, 1.487, -28.5, 56.47, 0
9.541, -44.491, -2.210, 1.172, 1.995, -29.6, 75.32, 0
9.557, -44.464, -2.171, 1.546, 2.468, -30.9, 95.00, 0
9.574, -44.430, -2.123, 1.950, 2.919, -32.5, 115.09, 0
9.591, -44.387, -2.069, 2.459, 3.265, -34.4, 141.78, 0
9.607, -44.334, -2.009, 2.960, 3.646, -36.6, 164.57, 0
9.624, -44.272, -1.944, 3.532, 3.998, -39.8, 189.79, 0
9.641, -44.197, -1.877, 4.791, 3.974, -42.9, -0.75, 0
9.657, -44.109, -1.807, 5.438, 4.242, -46.0, 0.33, 0
9.674, -44.007, -1.737, 6.355, 4.157, -50.5, 0.00, 0
9.691, -43.894, -1.662, 6.915, 4.770, -56.0, -0.06, 0
9.707, -43.769, -1.580, 7.725, 4.903, -62.8, -0.03, 0
9.724, -43.628, -1.501, 8.697, 4.734, -72.3, 1.08, 0
9.741, -43.471, -1.430, 9.614, 4.025, -89.4, 0.00, 0
9.757, -43.306, -1.371, 9.973, 3.582, -109.0, 0.00, 0
9.774, -43.144, -1.305, 9.520, 3.804, -121.3, -41.70, 0
9.791, -42.998, -1.246, 8.463, 2.992, -125.3, -108.38, 0
9.807, -42.856, -1.171, 8.852, 5.039, -126.9, -116.96, 0
9.824, -42.719, -1.083, 8.229, 4.995, -127.4, -165.91, 0
9.841, -42.591, -1.005, 8.018, 4.638, -125.8, -176.48, 0
9.857, -42.462, -0.936, 8.080, 4.057, -124.6, -163.60, 0
9.874, -42.330, -0.877, 8.215, 3.434, -124.6, -144.88, 0
9.890, -42.197, -0.828, 8.278, 2.865, -125.5, -132.27, 0
9.907, -42.063, -0.788, 8.249, 2.358, -126.6, -126.86, 0
9.924, -41.931, -0.756, 8.185, 1.878, -127.5, -124.03, 0
9.940, -41.799, -0.732, 8.137, 1.388, -128.3, -120.04, 0
9.957, -41.667, -0.717, 8.114, 0.878, -129.1, -114.30, 0
9.974, -41.535, -0.711, 8.103, 0.357, -130.0, -107.85, 0
9.990, -41.403, -0.713, 8.089, -0.164, -131.2, -101.69, 0
10.007, -41.272, -0.724, 8.067, -0.678, -132.4, -96.14, 0
10.024, -41.141, -0.742, 7.804, -1.262, -133.7, 0.00, 0
10.040, -41.012, -0.770, 7.782, -1.769, -135.0, 0.00, 0
10.057, -40.882, -0.806, 7.767, -2.281, -136.4, 0.00, 0
10.074, -40.753, -0.850, 7.754, -2.795, -137.9, 0.00, 0
10.090, -40.624, -0.903, 7.738, -3.306, -139.5, 0.00, 0
10.107, -40.495, -0.965, 7.717, -3.814, -141.1, 0.00, 0
10.124, -40.367, -1.035, 7.693, -4.318, -142.8, 0.00, 0
10.140, -40.239, -1.113, 7.668, -4.821, -144.6, 0.00, 0
10.157, -40.111, -1.200, 7.642, -5.325, -146.4, 0.00, 0
10.174, -39.984, -1.295, 7.617, -5.828, -148.3, 0.00, 0
10.190, -39.858, -1.398, 7.590, -6.331, -150.3, 0.00, 0
10.207, -39.732, -1.510, 7.561, -6.834, -152.3, 0.00, 0
10.223, -39.606, -1.630, 7.531, -7.335, -154.4, 0.00, 0
10.240, -39.481, -1.759, 7.499, -7.834, -156.6, 0.00, 0
10.257, -39.357, -1.896, 7.465, -8.333, -158.8, 0.00, 0
10.273, -39.233, -2.041, 7.428, -8.830, -161.1, 0.00, 0
10.290, -39.109, -2.194, 7.389, -9.325, -163.4, 0.00, 0
10.307, -38.987, -2.356, 7.348, -9.818, -165.8, 0.00, 0
10.323, -38.926, -2.425, 0.661, 0.434, -166.4, 49.63, 1
10.340, -38.916, -2.418, 0.475, 0.303, -167.1, 35.38, 1
10.357, -38.910, -2.414, 0.308, 0.192, -168.9, 22.79, 1
10.373, -38.906, -2.411, 0.159, 0.098, -170.3, 11.69, 1
10.390, -38.905, -2.411, 0.025, 0.015, -170.9, 1.86, 1
10.407, -38.906, -2.411, -0.087, -0.050, -170.7, -6.33, 1
10.423, -38.909, -2.413, -0.212, -0.123, -170.4, -15.42, 1
10.440, -38.915, -2.417, -0.342, -0.201, -170.2, -24.99, 1
10.457, -38.924, -2.421, -0.472, -0.282, -170.3, -34.64, 1
10.473, -38.930, -2.425, -0.134, -0.082, -170.4, -9.88, 1
10.490, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.507, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.523, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.540, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.556, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.573, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.590, -38.930, -2.425, 0.000, 0.000, -170.6, 0.00, 1
10.606, -38.930, -2.426, 0.000, 0.000, -170.6, 0.00, 1
10.623, -38.930, -2.426, 0.000, 0.000, -170.6, 0.00, 1
10.640, -38.932, -2.426, -0.152, -0.065, -170.6, 5.58, 1
10.656, -38.933, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.673, -38.933, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.690, -38.933, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.706, -38.933, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.723, -38.933, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.740, -38.933, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.756, -38.934, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.773, -38.934, -2.427, 0.000, 0.000, -170.6, 0.00, 1
10.790, -38.934, -2.428, 0.000, 0.000, -170.7, 0.00, 1
10.806, -38.934, -2.428, 0.000, 0.000, -171.0, 0.00, 1
10.823, -38.934, -2.428, 0.000, 0.000, -172.6, 0.00, 1
10.840, -38.934, -2.428, 0.000, 0.000, -177.4, 0.00, 1
10.856, -38.934, -2.427, 0.000, 0.000, 174.5, 0.00, 1
10.873, -38.945, -2.432, -1.263, -0.584, 162.5, 0.00, 1
10.889, -38.963, -2.442, -0.832, -0.522, 147.4, -60.75, 1
10.906, -38.971, -2.446, -0.531, -0.249, 132.9, 0.00, 1
10.923, -38.981, -2.448, -0.658, -0.071, 120.6, 0.00, 0
10.939, -38.995, -2.448, -0.837, 0.018, 109.5, 0.00, 0
10.956, -39.012, -2.447, -1.094, 0.036, 98.6, 0.00, 0
10.973, -39.033, -2.446, -1.332, 0.119, 87.3, 0.00, 0
10.989, -39.056, -2.442, -1.412, 0.287, 75.3, 3.12, 0
11.006, -39.067, -2.441, -0.490, -0.193, 66.1, 67.36, 0
11.023, -39.063, -2.455, 0.282, -1.069, 61.1, 112.82, 0
11.039, -39.044, -2.482, 1.038, -1.988, 60.0, 157.78, 1
11.056, -39.034, -2.473, 0.596, 0.366, 61.1, 43.93, 1
11.073, -39.025, -2.468, 0.434, 0.259, 62.8, 31.70, 1
11.089, -39.020, -2.464, 0.211, 0.124, 63.7, 15.35, 1
11.106, -39.019, -2.464, -0.001, 0.000, 63.6, -0.04, 1
11.123, -39.021, -2.465, -0.146, -0.072, 63.1, -10.27, 1
11.139, -39.026, -2.467, -0.235, -0.117, 62.7, -16.53, 1
11.156, -39.031, -2.470, -0.304, -0.154, 62.5, -21.40, 1
11.173, -39.038, -2.473, -0.387, -0.199, 62.6, -27.33, 1
11.189, -39.046, -2.478, -0.491, -0.258, 62.8, -34.87, 1
11.206, -39.057, -2.483, -0.609, -0.328, 62.9, -43.49, 1
11.222, -39.071, -2.491, -0.734, -0.407, 62.9, -52.79, 1
11.239, -39.085, -2.499, -0.809, -0.466, 62.8, -58.72, 1
11.256, -39.102, -2.509, -0.930, -0.557, 62.8, -68.17, 1
11.272, -39.109, -2.513, -0.313, -0.190, 62.8, -21.57, 1
11.289, -39.113, -2.515, -0.193, -0.118, 62.6, -12.81, 1
11.306, -39.116, -2.517, -0.148, -0.090, 62.5, -9.48, 1
11.322, -39.118, -2.518, -0.129, -0.078, 62.3, -8.04, 1
11.339, -39.120, -2.519, -0.121, -0.074, 62.2, -7.46, 1
11.356, -39.122, -2.521, -0.119, -0.073, 62.2, -7.33, 1
11.372, -39.125, -2.522, -0.120, -0.074, 62.2, -7.44, 1
11.389, -39.127, -2.523, -0.122, -0.075, 62.3, -7.59, 1
11.406, -39.129, -2.525, -0.122, -0.076, 62.3, -7.68, 1
11.422, -39.131, -2.526, -0.125, -0.078, 62.3, -7.81, 1
11.439, -39.133, -2.527, -0.126, -0.079, 62.3, -7.84, 1
11.456, -39.136, -2.529, -0.126, -0.079, 62.3, -7.85, 1
11.472, -39.138, -2.530, -0.126, -0.079, 62.3, -7.85, 1
11.489, -39.140, -2.531, -0.126, -0.080, 62.3, -7.88, 1
11.506, -39.143, -2.533, -0.127, -0.080, 62.3, -7.91, 1
11.522, -39.145, -2.534, -0.127, -0.081, 62.3, -7.92, 1
11.539, -39.147, -2.535, -0.127, -0.081, 62.3, -7.91, 1
11.555, -39.149, -2.537, -0.127, -0.080, 62.3, -7.91, 1
11.572, -39.152, -2.538, -0.127, -0.080, 62.3, -7.90, 1
11.589, -39.154, -2.539, -0.127, -0.080, 62.4, -7.91, 1
11.605, -39.156, -2.541, -0.127, -0.080, 62.4, -7.92, 1
11.622, -39.159, -2.542, -0.127, -0.081, 62.4, -7.92, 1
11.639, -39.161, -2.543, -0.127, -0.081, 62.4, -7.92, 1
11.655, -39.163, -2.545, -0.127, -0.080, 62.4, -7.92, 1
11.672, -39.166, -2.546, -0.127, -0.080, 62.4, -7.91, 1
11.689, -39.168, -2.547, -0.127, -0.080, 62.4, -7.91, 1
11.705, -39.170, -2.548, -0.127, -0.080, 62.4, -7.91, 1
11.722, -39.173, -2.550, -0.127, -0.080, 62.5, -7.91, 1
11.739, -39.175, -2.551, -0.127, -0.080, 62.5, -7.91, 1
11.755, -39.177, -2.552, -0.127, -0.080, 62.5, -7.91, 1
11.772, -39.180, -2.554, -0.127, -0.080, 62.5, -7.91, 1
11.789, -39.182, -2.555, -0.127, -0.080, 62.5, -7.91, 1
11.805, -39.184, -2.556, -0.127, -0.080, 62.5, -7.91, 1
11.822, -39.187, -2.558, -0.126, -0.080, 62.5, -7.91, 1
11.839, -39.189, -2.559, -0.126, -0.080, 62.5, -7.91, 1
11.855, -39.191, -2.560, -0.126, -0.080, 62.6, -7.91, 1
11.872, -39.194, -2.562, -0.126, -0.080, 62.6, -7.91, 1
11.888, -39.196, -2.563, -0.126, -0.080, 62.6, -7.90, 1
11.905, -39.198, -2.564, -0.126, -0.080, 62.6, -7.90, 1
11.922, -39.201, -2.566, -0.126, -0.080, 62.6, -7.90, 1
11.938, -39.203, -2.567, -0.126, -0.080, 62.6, -7.90, 1
11.955, -39.205, -2.568, -0.126, -0.080, 62.6, -7.90, 1
11.972, -39.208, -2.570, -0.126, -0.080, 62.6, -7.88, 1
11.988, -39.210, -2.571, -0.127, -0.080, 62.6, -7.92, 1
12.005, -39.212, -2.572, -0.126, -0.080, 62.7, -7.90, 1
12.022, -39.215, -2.573, -0.126, -0.080, 62.7, -7.90, 1
12.038, -39.217, -2.574, -0.127, -0.081, 62.7, -7.94, 1
12.055, -39.219, -2.576, -0.127, -0.081, 62.7, -7.94, 1
12.072, -39.222, -2.577, -0.125, -0.080, 62.7, -7.82, 1
12.088, -39.224, -2.578, -0.126, -0.080, 62.7, -7.85, 1
12.105, -39.227, -2.579, -0.125, -0.079, 62.7, -7.77, 1
12.122, -39.229, -2.580, -0.125, -0.079, 62.8, -7.78, 1
12.138, -39.231, -2.582, -0.126, -0.080, 62.8, -7.86, 1
12.155, -39.234, -2.583, -0.127, -0.081, 62.9, -7.95, 1
12.172, -39.236, -2.584, -0.127, -0.081, 62.9, -7.99, 1
12.188, -39.238, -2.585, -0.127, -0.081, 62.9, -7.96, 1
12.205, -39.241, -2.586, -0.126, -0.080, 62.9, -7.89, 1
12.221, -39.243, -2.588, -0.125, -0.079, 63.0, -7.79, 1
12.238, -39.246, -2.589, -0.124, -0.078, 63.0, -7.67, 1
12.255, -39.248, -2.590, -0.121, -0.077, 63.1, -7.45, 1
12.271, -39.250, -2.591, -0.120, -0.076, 63.3, -7.35, 1
12.288, -39.252, -2.592, -0.120, -0.076, 63.6, -7.37, 1
12.305, -39.255, -2.593, -0.122, -0.077, 63.9, -7.53, 1
12.321, -39.257, -2.594, -0.126, -0.080, 64.2, -7.93, 1
12.338, -39.260, -2.596, -0.131, -0.084, 64.5, -8.34, 1
12.355, -39.262, -2.597, -0.134, -0.085, 64.6, -8.50, 1
12.371, -39.265, -2.598, -0.132, -0.084, 64.7, -8.39, 1
12.388, -39.267, -2.599, -0.130, -0.082, 64.7, -8.16, 1
12.405, -39.269, -2.601, -0.128, -0.081, 64.7, -8.00, 1
12.421, -39.272, -2.602, -0.127, -0.081, 64.7, -7.94, 1
12.438, -39.274, -2.603, -0.127, -0.081, 64.8, -7.94, 1
12.455, -39.277, -2.604, -0.127, -0.081, 64.8, -7.94, 1
12.471, -39.279, -2.605, -0.127, -0.080, 64.8, -7.93, 1
12.488, -39.281, -2.607, -0.126, -0.080, 64.8, -7.91, 1
12.505, -39.284, -2.608, -0.126, -0.080, 64.8, -7.90, 1
12.521, -39.286, -2.609, -0.126, -0.080, 64.8, -7.90, 1
12.538, -39.289, -2.610, -0.126, -0.080, 64.8, -7.90, 1
12.554, -39.291, -2.611, -0.126, -0.080, 64.8, -7.90, 1
12.571, -39.293, -2.612, -0.126, -0.080, 64.8, -7.90, 1
12.588, -39.296, -2.614, -0.126, -0.080, 64.8, -7.90, 1
12.604, -39.298, -2.615, -0.126, -0.080, 64.8, -7.90, 1
12.621, -39.300, -2.616, -0.126, -0.080, 64.9, -7.90, 1
12.638, -39.303, -2.617, -0.126, -0.080, 64.9, -7.90, 1
12.654, -39.305, -2.618, -0.126, -0.080, 64.9, -7.90, 1
12.671, -39.308, -2.620, -0.126, -0.080, 64.9, -7.90, 1
12.688, -39.310, -2.621, -0.126, -0.080, 64.9, -7.90, 1
12.704, -39.312, -2.622, -0.126, -0.080, 64.9, -7.90, 1
12.721, -39.315, -2.623, -0.126, -0.080, 64.9, -7.90, 1
12.738, -39.317, -2.624, -0.126, -0.080, 64.9, -7.90, 1
12.754, -39.320, -2.626, -0.126, -0.080, 64.9, -7.90, 1
12.771, -39.322, -2.627, -0.126, -0.080, 64.9, -7.90, 1
12.788, -39.324, -2.628, -0.126, -0.080, 64.9, -7.90, 1
12.804, -39.327, -2.629, -0.126, -0.080, 64.9, -7.90, 1
12.821, -39.329, -2.630, -0.126, -0.080, 64.9, -7.90, 1
