iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,mean_reward,sum_reward,buffer_size
1,0.30031,17.182063,-0.357603,4.328373,0.908228,4.596183,79.0,0.027,0.5,0.1772,886.1215,5000.0
2,0.238949,22.901122,-0.351253,2.581504,0.862324,5.96458,71.0,0.0243,0.5,0.0366,164.485,4500.0
3,0.268011,31.065102,-0.343941,2.667919,0.870847,8.03463,79.0,0.02187,0.5,0.2551,1275.5545,5000.0
4,0.314391,21.816344,-0.33605,1.597432,0.827729,5.768814,79.0,0.019683,0.5,0.1754,877.0441,5000.0
5,0.185497,25.18768,-0.326656,1.227348,0.800176,6.482744,71.0,0.017715,0.5,0.1781,801.3181,4500.0
