iteration,me_cells,me_admitted,me_replaced,me_cell_size,explore_pool_best_sdy,explore_stall,explore_boost,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
65,7.0,0.0,0.0,5.0,3.26,0.0,0.6,-0.19642,4.725123,2.313826,0.129037,0.15625,0.982547,1.0,0.016847,0.5,233.989776,7.0,882.0,14.0,-0.258,-1651.182,6400.0
66,7.0,0.0,0.0,5.0,3.26,1.0,0.6,-0.105671,3.952703,2.555943,0.254352,0.15625,0.879948,1.0,0.015162,0.5,190.343769,7.0,882.0,14.0,-0.2456,-1572.1495,6400.0
67,7.0,0.0,0.0,5.0,3.26,2.0,0.6,-0.082577,8.568619,2.555943,0.166202,0.1875,2.057022,1.0,0.013646,0.5,183.252674,7.0,882.0,14.0,-0.116,-742.0989,6400.0
68,7.0,0.0,0.0,5.0,3.26,3.0,0.6,-0.082921,7.342078,2.555943,0.329747,0.25,1.750042,1.0,0.012281,0.5,182.694974,7.0,882.0,14.0,-0.3527,-2257.2271,6400.0
69,7.0,0.0,0.0,5.0,3.26,4.0,0.6,-0.081093,6.558606,2.555943,0.287609,0.15625,1.556003,1.0,0.011053,0.5,177.356371,7.0,882.0,14.0,-0.1186,-758.8551,6400.0
70,7.0,0.0,0.0,5.0,3.26,5.0,0.6,-0.057623,5.846512,2.555943,0.182406,0.3125,1.401449,1.0,0.01,0.5,176.859423,7.0,882.0,14.0,-0.348,-2227.1434,6400.0
71,7.0,0.0,0.0,5.0,3.26,6.0,0.6,0.316909,8.103551,2.555943,0.166693,0.1875,2.340241,1.0,0.01,0.5,173.102408,7.0,882.0,14.0,-0.0852,-545.0904,6400.0
72,7.0,0.0,0.0,5.0,3.26,7.0,0.6,0.090381,5.858705,2.555943,0.270743,0.25,1.552501,1.0,0.01,0.5,169.671023,7.0,882.0,14.0,-0.2307,-1476.4055,6400.0
73,7.0,0.0,0.0,5.0,3.26,0.0,0.8,0.096257,1.939931,2.555943,0.294115,0.203125,0.578683,1.0,0.01,0.5,168.212818,7.0,882.0,14.0,0.0918,587.5098,6400.0
74,7.0,0.0,0.0,5.0,3.26,1.0,0.8,-0.024886,8.482779,2.555943,0.247129,0.234375,2.093253,1.0,0.01,0.5,130.193681,7.0,882.0,14.0,-0.0363,-232.4667,6400.0
75,7.0,0.0,0.0,5.0,3.26,2.0,0.8,0.042855,11.18681,2.555943,0.09683,0.125,2.837002,1.0,0.01,0.5,130.505206,7.0,882.0,14.0,0.0314,200.8771,6400.0
76,8.0,2.0,1.0,5.0,3.26,3.0,0.8,-0.017682,7.865825,2.555943,0.599283,0.265625,1.946218,1.0,0.01,0.5,175.340652,8.0,1160.0,19.0,0.0703,450.1289,6400.0
77,9.0,1.0,0.0,5.0,4.28,0.0,0.6,0.213796,4.62228,2.555943,0.488368,0.296875,1.36681,1.0,0.01,0.5,189.902393,9.0,1468.0,23.0,-0.1373,-878.5968,6400.0
78,9.0,1.0,1.0,5.0,4.28,1.0,0.6,0.166933,6.666733,2.555943,0.110664,0.21875,1.83106,1.0,0.01,0.5,230.301401,9.0,1473.0,24.0,-0.0412,-263.9344,6400.0
79,9.0,0.0,0.0,5.0,4.28,2.0,0.6,0.219579,8.777549,2.555943,0.222205,0.265625,2.41141,1.0,0.01,0.5,223.81411,9.0,1473.0,24.0,-0.2546,-1629.4251,6400.0
80,9.0,0.0,0.0,5.0,4.28,3.0,0.6,-0.043547,5.079268,2.555943,0.356564,0.3125,1.223714,1.0,0.01,0.5,219.978138,9.0,1473.0,24.0,-0.1175,-752.0059,6400.0
81,9.0,0.0,0.0,5.0,4.28,4.0,0.6,0.249927,4.074014,2.555943,0.547745,0.171875,1.265875,1.0,0.01,0.5,215.652321,9.0,1473.0,24.0,-0.2149,-1375.6347,6400.0
82,9.0,0.0,0.0,5.0,4.28,5.0,0.6,-0.061253,10.873158,2.555943,0.12408,0.15625,2.65448,1.0,0.01,0.5,211.534997,9.0,1473.0,24.0,-0.0553,-353.7767,6400.0
83,9.0,0.0,0.0,5.0,4.28,6.0,0.6,0.127162,6.841261,2.555943,0.29175,0.21875,1.834922,1.0,0.01,0.5,208.331824,9.0,1473.0,24.0,-0.2492,-1595.0903,6400.0
84,9.0,0.0,0.0,5.0,4.28,7.0,0.6,0.098728,1.973571,2.555943,0.16829,0.203125,0.589565,1.0,0.01,0.5,239.101817,9.0,1473.0,24.0,0.1086,694.875,6400.0
85,9.0,0.0,0.0,5.0,4.28,0.0,0.8,0.182426,16.298229,2.555943,0.147798,0.1875,4.254428,1.0,0.01,0.5,204.550103,9.0,1473.0,24.0,-0.2999,-1919.3542,6400.0
86,9.0,0.0,0.0,5.0,4.28,1.0,0.8,0.010643,9.153807,2.555943,0.252702,0.25,2.296539,1.0,0.01,0.5,160.700828,9.0,1473.0,24.0,0.0668,427.6581,6400.0
87,10.0,1.0,0.0,5.0,4.28,2.0,0.8,0.172811,33.233761,2.555943,0.145102,0.203125,8.478696,1.0,0.01,0.5,181.753961,10.0,1691.0,27.0,-0.5424,-3471.0441,6400.0
88,10.0,0.0,0.0,5.0,4.28,3.0,0.8,0.164608,4.302684,2.555943,0.265076,0.203125,1.237723,1.0,0.01,0.5,181.39959,10.0,1691.0,27.0,-0.0674,-431.043,6400.0
89,10.0,0.0,0.0,5.0,4.28,4.0,0.8,0.054851,3.601787,2.555943,0.309473,0.234375,0.952742,1.0,0.01,0.5,174.488485,10.0,1691.0,27.0,-0.2064,-1320.7127,6400.0
90,10.0,0.0,0.0,5.0,4.28,5.0,0.8,0.030381,6.835277,2.555943,0.196984,0.15625,1.736644,1.0,0.01,0.5,170.378388,10.0,1691.0,27.0,0.0288,184.5999,6400.0
91,10.0,0.0,0.0,5.0,4.28,6.0,0.8,-0.134787,6.608998,2.555943,0.388717,0.328125,1.514907,1.0,0.01,0.5,168.883782,10.0,1691.0,27.0,0.1181,755.5639,6400.0
92,10.0,0.0,0.0,5.0,4.28,7.0,0.8,0.02594,11.641096,2.555943,0.27697,0.21875,2.933658,1.0,0.01,0.5,167.072379,10.0,1691.0,27.0,-0.2397,-1533.9099,6400.0
93,10.0,0.0,0.0,5.0,4.28,0.0,0.8,-0.046459,6.230134,2.555943,0.196464,0.203125,1.508519,1.0,0.01,0.5,166.193184,10.0,1691.0,27.0,-0.8521,-5453.4652,6400.0
94,10.0,0.0,0.0,5.0,4.28,1.0,0.8,0.171267,3.944507,2.555943,0.209151,0.34375,1.154837,1.0,0.01,0.5,164.221734,10.0,1691.0,27.0,-0.4864,-3113.1755,6400.0
95,10.0,0.0,0.0,5.0,4.28,2.0,0.8,0.042213,7.305514,2.555943,0.236322,0.25,1.866035,1.0,0.01,0.5,160.236084,10.0,1691.0,27.0,-0.2771,-1773.132,6400.0
96,11.0,1.0,0.0,5.0,4.28,3.0,0.8,-0.006475,7.575063,2.555943,0.245786,0.234375,1.884735,1.0,0.01,0.5,180.872325,11.0,2072.0,33.0,-0.0451,-288.6655,6400.0
97,11.0,0.0,0.0,5.0,4.28,4.0,0.8,0.085996,3.946363,2.555943,0.172096,0.25,1.070031,1.0,0.01,0.5,176.300777,11.0,2072.0,33.0,0.115,736.0624,6400.0
98,11.0,1.0,1.0,5.0,4.28,5.0,0.8,0.09269,18.495554,2.555943,0.21814,0.328125,4.714023,1.0,0.01,0.5,178.013534,11.0,2136.0,34.0,-0.8575,-5487.6918,6400.0
99,11.0,0.0,0.0,5.0,4.28,6.0,0.8,0.094461,7.244923,2.555943,0.078616,0.140625,1.903136,1.0,0.01,0.5,174.536696,11.0,2136.0,34.0,0.0152,97.1964,6400.0
100,11.0,0.0,0.0,5.0,4.28,7.0,0.8,-0.122439,6.19853,2.555943,0.348318,0.265625,1.424638,1.0,0.01,0.5,171.046589,11.0,2136.0,34.0,0.1071,685.1818,6400.0
101,11.0,0.0,0.0,5.0,4.28,0.0,0.8,0.094741,12.123393,2.555943,0.269818,0.234375,3.123033,1.0,0.01,0.5,168.229167,11.0,2136.0,34.0,-0.6536,-4182.9562,6400.0
102,11.0,0.0,0.0,5.0,4.28,1.0,0.8,-0.216251,8.144119,2.555943,0.263647,0.28125,1.817223,1.0,0.01,0.5,167.1277,11.0,2136.0,34.0,0.0543,347.496,6400.0
103,11.0,1.0,1.0,5.0,4.28,2.0,0.8,-0.087279,11.23308,2.555943,0.233951,0.234375,2.718435,1.0,0.01,0.5,187.684966,11.0,2305.0,37.0,-0.0217,-139.1185,6400.0
104,11.0,1.0,1.0,5.0,4.28,3.0,0.8,0.208807,17.500637,2.555943,0.22204,0.25,4.58141,1.0,0.01,0.5,178.439748,11.0,2314.0,37.0,-0.4015,-2569.5987,6400.0
