iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,mean_reward,sum_reward,buffer_size
51,0.002728,79.627131,2.77225,0.005201,0.055625,19.906739,500.0,0.05,5.0,-0.4739,-3791.2346,8000.0
52,0.000151,39.590609,2.7726,0.004599,0.051094,9.89503,500.0,0.05,5.0,-0.4729,-3783.4954,8000.0
53,0.000452,39.844136,2.774431,0.004629,0.045375,9.958712,500.0,0.05,5.0,-0.3235,-2587.7023,8000.0
54,0.001241,41.004493,2.778251,0.003465,0.034063,10.249586,500.0,0.05,5.0,-0.5962,-4769.9662,8000.0
55,0.000558,21.289827,2.780957,0.003956,0.041156,5.320234,500.0,0.05,5.0,-0.2643,-2114.4708,8000.0
56,-8.3e-05,65.27908,2.779577,0.005432,0.047688,16.316907,500.0,0.05,5.0,-0.5586,-4468.4254,8000.0
57,0.000464,40.051052,2.779138,0.004144,0.040063,10.010448,500.0,0.05,5.0,-0.2893,-2314.6755,8000.0
58,0.00093,93.757423,2.776279,0.004057,0.040188,23.437509,500.0,0.05,5.0,-0.4435,-3548.0564,8000.0
59,0.000336,54.426181,2.771058,0.004138,0.037937,13.60411,500.0,0.05,5.0,-0.4641,-3712.7179,8000.0
60,0.000398,27.045797,2.769987,0.003414,0.028719,6.759078,500.0,0.05,5.0,-0.3293,-2634.5165,8000.0
61,0.001436,54.943601,2.766114,0.005495,0.030219,13.73457,500.0,0.05,5.0,-0.4736,-3788.7117,8000.0
62,0.000405,47.603314,2.755712,0.004426,0.0465,11.898477,500.0,0.05,5.0,-0.4634,-3706.8477,8000.0
63,-0.001073,29.525746,2.748702,0.00539,0.057469,7.377615,500.0,0.05,5.0,-0.3542,-2833.6019,8000.0
64,0.000945,9.775536,2.747253,0.004696,0.04675,2.442082,500.0,0.05,5.0,-0.2184,-1747.5803,8000.0
65,0.000425,41.51383,2.743538,0.004241,0.043094,10.376139,500.0,0.05,5.0,-0.4017,-3213.5786,8000.0
66,0.001126,16.673855,2.742085,0.004217,0.044781,4.166847,500.0,0.05,5.0,-0.2269,-1815.4359,8000.0
67,-0.000142,57.145185,2.738604,0.00481,0.053,14.283416,500.0,0.05,5.0,-0.4226,-3380.7635,8000.0
68,4.4e-05,70.29034,2.735783,0.004621,0.052187,17.569894,500.0,0.05,5.0,-0.4708,-3766.7179,8000.0
69,0.001276,27.823857,2.73032,0.004164,0.044125,6.95451,500.0,0.05,5.0,-0.3214,-2571.3033,8000.0
70,0.000557,45.236459,2.729066,0.005417,0.052719,11.306943,500.0,0.05,5.0,-0.3786,-3029.1803,8000.0
71,0.003354,42.314377,2.733548,0.003668,0.034858,10.579215,472.0,0.05,5.0,-0.2791,-2093.2604,7500.0
72,0.000245,50.951598,2.730428,0.00344,0.032719,12.735414,500.0,0.05,5.0,-0.4439,-3551.3236,8000.0
73,-0.000604,59.967795,2.727583,0.003827,0.038437,14.988617,500.0,0.05,5.0,-0.6016,-4812.7124,8000.0
74,-0.000237,28.87976,2.725406,0.003442,0.03338,7.216978,472.0,0.05,5.0,-0.4205,-3154.0503,7500.0
75,0.000504,23.451454,2.722253,0.003362,0.030094,5.860646,500.0,0.05,5.0,-0.2976,-2380.6315,8000.0
76,0.0006,9.585302,2.719279,0.004046,0.037219,2.394206,500.0,0.05,5.0,-0.2507,-2005.2805,8000.0
77,-0.001212,23.499611,2.71221,0.003979,0.034947,5.870978,472.0,0.05,5.0,-0.3689,-2766.4336,7500.0
78,-8e-05,44.227297,2.706453,0.004565,0.046187,11.054038,500.0,0.05,5.0,-0.2772,-2217.8446,8000.0
79,-0.001307,33.921309,2.709343,0.005301,0.034141,8.476311,472.0,0.05,5.0,-0.3601,-2700.482,7500.0
80,0.000264,69.474401,2.715686,0.004428,0.048844,17.366149,500.0,0.05,5.0,-0.4945,-3956.0747,8000.0
81,0.001142,35.39382,2.716594,0.004384,0.034156,8.84688,500.0,0.05,5.0,-0.2556,-2045.0726,8000.0
82,-0.000405,38.641563,2.714813,0.004329,0.042351,9.657271,472.0,0.05,5.0,-0.3466,-2599.6806,7500.0
83,0.000566,11.615418,2.712947,0.004895,0.051728,2.901707,440.0,0.05,5.0,-0.2685,-1879.655,7000.0
84,0.000709,22.478304,2.708657,0.003283,0.032019,5.617576,440.0,0.05,5.0,-0.3083,-2158.1696,7000.0
85,6.1e-05,45.432058,2.701975,0.003034,0.026187,11.355373,500.0,0.05,5.0,-0.5672,-4537.4543,8000.0
86,0.000873,32.814518,2.691247,0.003698,0.033344,8.201811,500.0,0.05,5.0,-0.3689,-2951.2798,8000.0
87,0.002549,38.353703,2.686227,0.003858,0.03754,9.588288,472.0,0.05,5.0,-0.3373,-2529.7043,7500.0
88,0.00034,28.360642,2.688451,0.003262,0.029518,7.087812,472.0,0.05,5.0,-0.3783,-2837.1681,7500.0
89,0.001458,64.704425,2.690732,0.00334,0.03075,16.174873,500.0,0.05,5.0,-0.4804,-3843.1896,8000.0
90,-0.001276,36.887123,2.695171,0.003758,0.036625,9.217809,500.0,0.05,5.0,-0.3728,-2982.6412,8000.0
91,-0.000589,27.422837,2.698093,0.003726,0.034781,6.852422,500.0,0.05,5.0,-0.3044,-2435.3735,8000.0
92,0.001605,31.569299,2.695699,0.003981,0.034438,7.891234,500.0,0.05,5.0,-0.333,-2663.717,8000.0
93,0.000973,25.930943,2.696862,0.003573,0.033906,6.481012,500.0,0.05,5.0,-0.3191,-2552.5637,8000.0
94,-0.000546,24.021442,2.698885,0.004226,0.040719,6.002115,500.0,0.05,5.0,-0.3203,-2562.0169,8000.0
95,5.8e-05,9.472494,2.695529,0.005932,0.062062,2.365486,500.0,0.05,5.0,-0.1879,-1503.4204,8000.0
96,-0.001692,46.924149,2.691526,0.004999,0.047188,11.726654,500.0,0.05,5.0,-0.6228,-4982.0418,8000.0
97,5e-06,27.531143,2.693505,0.004051,0.032281,6.880098,500.0,0.05,5.0,-0.2899,-2319.1418,8000.0
98,0.000483,43.747284,2.693725,0.004548,0.046938,10.93461,500.0,0.05,5.0,-0.3581,-2865.1432,8000.0
99,0.000183,27.015973,2.690302,0.004121,0.042125,6.751486,500.0,0.05,5.0,-0.3292,-2633.4374,8000.0
100,7.3e-05,15.006691,2.689158,0.005152,0.054562,3.749057,500.0,0.05,5.0,-0.1673,-1338.4737,8000.0
