iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size
1,0.0,215.207545,0.0,0.0,0.0,215.207545,632.0,0.03,0.5,1.0,1.0535,5267.6054,5000.0
2,0.0,17.020377,0.0,0.0,0.0,17.020377,632.0,0.03,0.5,1.0,0.2551,1275.6615,5000.0
3,0.0,13.61556,0.0,0.0,0.0,13.61556,632.0,0.03,0.5,1.0,0.197,984.8592,5000.0
4,0.0,9.736544,0.0,0.0,0.0,9.736544,632.0,0.03,0.5,1.0,0.1877,938.5645,5000.0
5,0.0,13.576141,0.0,0.0,0.0,13.576141,632.0,0.03,0.5,1.0,0.2309,1154.4584,5000.0
