timestamp, playerX, playerY, velocityX, velocityY, hammerAngle, hammerAngularVel, isGrounded
9.397, -44.281, -2.422, 0.000, 0.000, -6.0, 0.00, 1
9.420, -44.281, -2.422, 0.000, 0.000, -5.8, 0.00, 1
9.437, -44.281, -2.422, 0.000, 0.000, -5.7, 0.00, 1
9.453, -44.281, -2.422, 0.000, 0.000, -5.5, 0.00, 1
9.470, -44.281, -2.422, 0.000, 0.000, -5.5, 0.00, 1
9.487, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.503, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.520, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.536, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.553, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.570, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.586, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.603, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.620, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.636, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.653, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.670, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.686, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.703, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.720, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.736, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.753, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.770, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.786, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.803, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.819, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.836, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.853, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.869, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.886, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.903, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.919, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.936, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.953, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.969, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
9.986, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.003, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.019, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.036, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.053, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.069, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.086, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.103, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.119, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.136, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.153, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.169, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.186, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.202, -44.281, -2.422, 0.000, 0.000, -5.4, 0.00, 1
10.219, -44.281, -2.422, 0.000, 0.000, -4.9, 0.00, 1
10.236, -44.281, -2.422, 0.000, 0.000, -1.8, 0.00, 1
10.252, -44.281, -2.422, 0.000, 0.000, 6.2, 0.00, 1
10.269, -44.281, -2.422, 0.037, 0.011, 19.5, 2.44, 1
10.286, -44.277, -2.421, 0.315, 0.093, 34.1, 20.64, 1
10.302, -44.268, -2.419, 0.544, 0.071, 47.7, 34.27, 1
10.319, -44.257, -2.416, 0.564, 0.156, 59.4, 36.81, 1
10.336, -44.246, -2.413, 0.574, 0.152, 69.8, 37.35, 1
10.352, -44.235, -2.410, 0.614, 0.156, 80.1, 39.86, 1
10.369, -44.223, -2.407, 0.667, 0.161, 90.7, 43.15, 1
