iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size
1,0.0,5.096817,0.0,0.0,0.0,5.096817,632.0,0.03,0.5,1.0,0.1014,506.7912,5000.0
2,0.0,74.04403,0.0,0.0,0.0,74.04403,632.0,0.03,0.5,1.0,0.1371,685.2914,5000.0
3,0.0,7.134769,0.0,0.0,0.0,7.134769,632.0,0.03,0.5,1.0,0.068,339.8645,5000.0
4,0.0,9.678419,0.0,0.0,0.0,9.678419,504.0,0.03,0.5,1.0,0.166,663.8594,4000.0
5,0.0,22.525445,0.0,0.0,0.0,22.525445,632.0,0.03,0.5,1.0,0.2347,1173.3146,5000.0
