iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,mean_reward,sum_reward,buffer_size
1,0.107052,12.833059,1.535251,0.475244,0.692247,3.313782,79.0,0.027,0.5,0.1204,602.1049,5000.0
2,0.096141,55.265543,1.539721,0.327528,0.652245,13.910987,71.0,0.0243,0.5,0.2884,1297.7125,4500.0
3,0.088831,28.444597,1.544097,0.248357,0.605815,7.198436,79.0,0.02187,0.5,0.1872,935.9595,5000.0
4,0.074054,21.199359,1.547987,0.160755,0.554533,5.372346,71.0,0.019683,0.5,0.2391,1075.9513,4500.0
5,0.066873,22.065159,1.551545,0.192755,0.542919,5.581611,79.0,0.017715,0.5,0.2315,1157.4338,5000.0
6,0.061049,18.762887,1.55556,0.136707,0.5239,4.750215,71.0,0.015943,0.5,0.1697,763.7419,4500.0
7,0.039037,43.883915,1.556477,0.082739,0.469146,11.008459,79.0,0.014349,5.0,0.2851,1425.2818,5000.0
