iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
35,0.080035,14.545253,-0.360995,0.028867,0.253906,3.716709,4.0,0.02187,0.5,,-0.0993,-496.6407,5000.0,95.902387,20.0,8590.0,40.0
36,-0.012245,12.711151,-0.360944,0.019247,0.183594,3.165904,4.0,0.02187,0.5,,-0.1266,-632.9969,5000.0,99.338374,20.0,8590.0,40.0
37,0.132677,14.275072,-0.360895,0.031103,0.148438,3.701806,4.0,0.02187,0.5,,-0.1332,-665.8686,5000.0,94.824695,20.0,8590.0,40.0
38,-0.029875,17.360224,-0.360944,0.016352,0.184896,4.310542,6.0,0.02187,0.5,,-0.0698,-349.0743,5000.0,97.006203,20.0,8590.0,40.0
39,0.126819,18.874681,-0.361049,0.031051,0.074219,4.84585,4.0,0.02187,0.5,,-0.0861,-430.6416,5000.0,97.34913,20.0,8529.0,40.0
40,-0.013672,15.623621,-0.361115,0.013505,0.135417,3.892595,3.0,0.02187,0.5,,-0.1266,-632.8131,5000.0,95.939475,20.0,8529.0,40.0
41,0.038816,18.819443,-0.361234,0.018995,0.171875,4.744038,4.0,0.02187,0.5,,-0.1035,-517.2864,5000.0,93.044589,20.0,8493.0,40.0
42,-0.064552,15.961834,-0.361379,0.015474,0.152344,3.926268,4.0,0.02187,0.5,,-0.1056,-528.1881,5000.0,89.293717,20.0,8493.0,40.0
43,0.01997,19.225081,-0.361612,0.016845,0.15625,4.826602,4.0,0.02187,0.5,,-0.1361,-680.4075,5000.0,93.868881,20.0,8493.0,40.0
44,0.108619,13.033273,-0.361788,0.016173,0.144531,3.367299,4.0,0.02187,0.5,,-0.1213,-606.6852,5000.0,94.419553,20.0,8493.0,40.0
45,-0.078155,31.438358,-0.361859,0.020467,0.136719,7.781796,4.0,0.02187,0.5,,-0.1103,-551.2938,5000.0,90.562006,20.0,8431.0,40.0
46,0.081552,18.163608,-0.361765,0.018397,0.165625,4.622816,5.0,0.02187,0.5,,-0.1056,-528.0077,5000.0,90.610688,20.0,8272.0,40.0
47,-0.019715,10.508146,-0.361712,0.022716,0.1625,2.607684,5.0,0.02187,0.5,,-0.1627,-813.5437,5000.0,94.339238,20.0,8272.0,40.0
48,0.081255,12.956711,-0.361741,0.018816,0.152344,3.320794,4.0,0.02187,0.5,,-0.1468,-733.9603,5000.0,93.761465,20.0,8149.0,40.0
49,0.065955,16.371429,-0.361786,0.017826,0.191406,4.159174,4.0,0.02187,0.5,,-0.148,-740.0281,5000.0,90.977939,20.0,8268.0,40.0
50,0.019946,26.158055,-0.361775,0.016305,0.2,6.559821,5.0,0.02187,0.5,,-0.1292,-646.1761,5000.0,90.933156,20.0,8268.0,40.0
51,0.02942,18.156301,-0.361841,0.027438,0.215625,4.568857,5.0,0.02187,0.5,,-0.1284,-641.9231,5000.0,91.628757,20.0,8268.0,40.0
52,-0.005964,15.450186,-0.361962,0.017804,0.158482,3.856944,7.0,0.02187,0.5,,-0.5477,-2738.4505,5000.0,89.761943,20.0,8268.0,40.0
53,0.057221,23.901836,-0.361906,0.018056,0.160156,6.033042,4.0,0.02187,0.5,,-0.1345,-672.5826,5000.0,90.483496,20.0,8169.0,40.0
54,0.006085,24.760339,-0.361808,0.021967,0.191406,6.196532,4.0,0.02187,0.5,,-0.1441,-720.6508,5000.0,93.872014,20.0,8169.0,40.0
55,0.06248,13.200455,-0.361717,0.013631,0.104167,3.362955,3.0,0.02187,0.5,,-0.1256,-628.0201,5000.0,87.348923,20.0,8251.0,40.0
56,-0.073717,21.029348,-0.361578,0.015338,0.144531,5.183982,4.0,0.02187,0.5,,-0.1536,-767.7879,5000.0,90.615824,20.0,8251.0,40.0
57,0.01296,16.14256,-0.361406,0.022461,0.24375,4.048961,5.0,0.02187,0.5,,-0.1218,-609.2318,5000.0,88.842914,20.0,8365.0,40.0
58,0.05902,16.217763,-0.361204,0.017814,0.164062,4.113822,6.0,0.02187,0.5,,-0.1756,-878.0774,5000.0,93.114394,20.0,8365.0,40.0
59,0.034133,14.47688,-0.361139,0.027253,0.25,3.653714,5.0,0.02187,0.5,,-0.1529,-764.2593,5000.0,87.246701,20.0,8365.0,40.0
60,0.060542,17.401123,-0.361089,0.031478,0.190625,4.411184,5.0,0.02187,0.5,,-0.137,-684.8806,5000.0,89.586233,20.0,8365.0,40.0
61,-0.002508,12.950562,-0.361021,0.021371,0.178125,3.235493,5.0,0.02187,0.5,,-0.1723,-861.2937,5000.0,90.248921,20.0,8365.0,40.0
62,0.07033,13.035803,-0.361127,0.02007,0.16875,3.329642,5.0,0.02187,0.5,,-0.1511,-755.5615,5000.0,86.170487,20.0,8274.0,40.0
63,0.022543,17.54859,-0.361196,0.018187,0.171875,4.410052,5.0,0.02187,0.5,,-0.1645,-822.2605,5000.0,90.234291,20.0,8274.0,40.0
64,-0.007659,10.649536,-0.361167,0.055389,0.114583,2.655086,3.0,0.019683,0.5,,-0.1902,-951.097,5000.0,87.138341,20.0,8274.0,40.0
65,-0.04711,19.222003,-0.36117,0.013601,0.052083,4.758751,3.0,0.019683,0.5,,-0.17,-849.9577,5000.0,84.069444,20.0,8274.0,40.0
66,0.038208,25.139981,-0.361147,0.016577,0.15625,6.323564,5.0,0.019683,0.5,,-0.118,-590.2206,5000.0,87.831803,20.0,8257.0,40.0
67,-0.029518,16.208066,-0.361136,0.021935,0.117188,4.022859,4.0,0.019683,0.5,,-0.1812,-905.9314,5000.0,87.984418,20.0,8257.0,40.0
68,0.141541,13.645423,-0.361146,0.015849,0.167969,3.553258,4.0,0.019683,0.5,,-0.1757,-878.7332,5000.0,88.254356,20.0,8257.0,40.0
