iteration,me_cells,me_admitted,me_replaced,explore_pool_best_sdy,explore_stall,explore_boost,explore_std,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
291,2.0,10.0,3.0,2.5139361694455147,0.0,0.0,0.9791961908340454,0.1352505385875702,6.032301425933838,1.513677954673767,0.21655264496803284,0.125,1.6418122053146362,1.0,0.027,0.5,284.97878334738994,5.0,690.0,11.0,0.0879499665124144,351.79986604965757,4000.0
292,4.0,8.0,0.0,2.5139361694455147,1.0,0.0,0.9792078733444214,0.12128493189811707,21.782726287841797,1.513695240020752,0.12364418804645538,0.140625,5.565453052520752,1.0,0.0243,0.5,310.53754224275286,5.0,1215.0,19.0,-0.7651558869718004,-3060.6235478872013,4000.0
293,5.0,10.0,1.0,2.5139361694455147,2.0,0.0,0.9792183637619019,0.01442236453294754,12.612493515014648,1.5137187242507935,0.059611380100250244,0.109375,3.166032075881958,1.0,0.02187,0.5,291.6185756010168,5.0,1033.0,17.0,0.11872827387748609,474.91309550994436,4000.0
294,6.0,3.0,2.0,2.5139361694455147,3.0,0.0,0.9792232513427734,0.14170701801776886,8.156997680664062,1.513740062713623,0.1371331810951233,0.15625,2.1794426441192627,1.0,0.019683000000000003,0.5,241.2228321276213,6.0,1168.0,19.0,0.1518662167306211,607.4648669224844,4000.0
295,6.0,1.0,1.0,2.5139361694455147,4.0,0.0,0.9792332649230957,-0.05808953940868378,9.74712085723877,1.5137499570846558,0.19819951057434082,0.125,2.3771770000457764,1.0,0.017714700000000003,0.5,204.27201040167557,6.0,1163.0,19.0,-0.17538210682859723,-701.5284273143889,4000.0
296,3,9,0,1.8990691304206848,0,0.0,0.9792503118515015,0.14281204342842102,5.410294055938721,1.5137701034545898,0.12542985379695892,0.125,1.493871808052063,1.0,0.027,0.5,287.8961124420166,5.0,976.0,16.0,0.0647853460604486,259.1413842417944,4000.0
297,4,9,4,3.8442102670669556,0,0.0,0.9792671799659729,-0.09182818233966827,9.013779640197754,1.5138044357299805,0.14704354107379913,0.15625,2.1601030826568604,1.0,0.0243,0.5,252.94735616048177,5.0,957.0,15.0,-0.11610516006837407,-464.4206402734963,4000.0
298,4,10,1,3.8442102670669556,1,0.0,0.9792752265930176,-0.08199073374271393,7.243790626525879,1.513838291168213,0.06694898754358292,0.109375,1.7274430990219116,1.0,0.02187,0.5,261.8309335708618,5.0,964.0,16.0,0.09754258053745508,390.1703221498203,4000.0
299,5,4,0,3.8442102670669556,2,0.0,0.9792739152908325,-0.12858682870864868,13.208772659301758,1.5138545036315918,0.19462916254997253,0.140625,3.1720924377441406,1.0,0.019683000000000003,0.5,185.6032019721137,5.0,1127.0,18.0,0.15813310100932587,632.5324040373035,4000.0
300,6,2,1,3.8442102670669556,3,0.0,0.9792715311050415,-0.016303259879350662,11.236040115356445,1.5138520002365112,0.05980192869901657,0.0625,2.7911927700042725,1.0,0.017714700000000003,0.5,162.28648135536596,6.0,1194.0,19.0,0.09182711767653721,367.30847070614885,4000.0
