iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
35,-0.056572,16.473934,-0.360973,0.009366,0.09375,4.062273,4.0,0.017715,0.5,,0.2372,1186.1567,5000.0,92.976956,20.0,7874.0,40.0
36,-0.065776,40.647551,-0.360917,0.01536,0.096875,10.096472,5.0,0.017715,0.5,,0.24,1199.8185,5000.0,92.444694,20.0,7874.0,40.0
37,0.015375,28.703794,-0.361013,0.015179,0.152344,7.191685,4.0,0.017715,0.5,,0.2999,1499.2646,5000.0,94.983667,20.0,7979.0,40.0
38,0.064157,55.020917,-0.36117,0.01327,0.161458,13.819748,3.0,0.017715,0.5,,0.2851,1425.5373,5000.0,95.153914,20.0,7979.0,40.0
39,-0.049974,29.430111,-0.361273,0.014497,0.125,7.307916,4.0,0.017715,0.5,,0.2332,1165.8817,5000.0,95.429273,20.0,8159.0,40.0
40,-0.009408,22.148757,-0.361363,0.019422,0.203125,5.528142,4.0,0.017715,0.5,,0.2235,1117.3402,5000.0,89.781304,20.0,8159.0,40.0
41,0.003755,21.670161,-0.361372,0.016853,0.144531,5.421657,4.0,0.017715,0.5,,0.2707,1353.4863,5000.0,87.510403,20.0,8059.0,40.0
42,0.004503,12.421488,-0.361299,0.016966,0.158854,3.110237,6.0,0.017715,0.5,,0.2433,1216.5305,5000.0,90.848652,20.0,8059.0,40.0
43,0.024395,11.304679,-0.36129,0.012324,0.117188,2.850926,4.0,0.017715,0.5,,0.2048,1023.8847,5000.0,92.609437,20.0,8059.0,40.0
44,0.059088,24.425694,-0.361188,0.019953,0.144531,6.165873,4.0,0.017715,0.5,,0.2826,1413.1787,5000.0,88.82213,20.0,7879.0,40.0
45,0.027665,13.098886,-0.361148,0.015917,0.144531,3.302748,4.0,0.017715,0.5,,0.2279,1139.3351,5000.0,93.155674,20.0,7879.0,40.0
46,0.059589,9.833276,-0.361118,0.017153,0.178125,2.518269,5.0,0.017715,0.5,,0.2281,1140.4243,5000.0,89.645463,20.0,7879.0,40.0
47,0.060356,13.515056,-0.361213,0.013065,0.161458,3.439482,3.0,0.017715,0.5,,0.2792,1396.1561,5000.0,92.221363,20.0,7871.0,40.0
48,0.029687,28.53197,-0.361396,0.023075,0.199219,7.163041,4.0,0.017715,0.5,,0.2792,1396.023,5000.0,94.442481,20.0,7871.0,40.0
49,0.038419,33.399117,-0.361474,0.014547,0.128906,8.388559,4.0,0.017715,0.5,,0.2787,1393.5331,5000.0,92.371615,20.0,7871.0,40.0
50,-0.046144,56.026582,-0.361425,0.022987,0.101562,13.960863,4.0,0.017715,0.5,,0.2835,1417.7228,5000.0,88.263574,20.0,7774.0,40.0
51,0.00922,15.028929,-0.361301,0.013576,0.113281,3.766813,4.0,0.017715,0.5,,0.0944,471.9608,5000.0,88.823917,20.0,7774.0,40.0
52,0.141888,25.259977,-0.361081,0.013101,0.117188,6.457244,4.0,0.017715,0.5,,0.2703,1351.5695,5000.0,87.156131,20.0,7774.0,40.0
53,-0.027849,17.088633,-0.360966,0.181209,0.052083,4.24467,3.0,0.015943,0.5,,0.2273,1136.4893,5000.0,87.790044,20.0,7774.0,40.0
54,0.063072,17.70831,-0.360918,0.012482,0.058594,4.490511,4.0,0.015943,0.5,,0.272,1360.2017,5000.0,87.652819,20.0,7813.0,40.0
55,-0.002402,14.377943,-0.360974,0.012186,0.15625,3.592445,4.0,0.015943,0.5,,0.2517,1258.3223,5000.0,90.301193,20.0,7826.0,40.0
56,0.032746,22.803208,-0.361008,0.016825,0.115625,5.733909,5.0,0.015943,0.5,,0.2509,1254.5138,5000.0,91.906466,20.0,7974.0,40.0
57,0.034118,18.94165,-0.36113,0.023124,0.199219,4.769892,4.0,0.015943,0.5,,0.2465,1232.3968,5000.0,90.171922,20.0,7974.0,40.0
58,0.09288,26.036148,-0.361271,0.024705,0.136719,6.602279,4.0,0.014349,0.5,,0.2405,1202.4037,5000.0,87.607751,20.0,8122.0,40.0
59,0.051822,16.236167,-0.361293,0.011452,0.057292,4.111225,3.0,0.014349,0.5,,0.2332,1166.0818,5000.0,89.465171,20.0,8122.0,40.0
60,0.019815,13.097113,-0.361316,0.011366,0.152344,3.294454,4.0,0.014349,0.5,,0.2774,1387.03,5000.0,87.796632,20.0,8122.0,40.0
61,0.100242,34.358386,-0.361339,0.011084,0.125,8.6902,3.0,0.014349,0.5,,0.2637,1318.522,5000.0,91.766789,20.0,8096.0,40.0
62,0.020006,27.613915,-0.361376,0.011204,0.097656,6.923846,4.0,0.014349,0.5,,0.3049,1524.4495,5000.0,92.918694,20.0,8096.0,40.0
63,0.018814,30.189231,-0.36134,0.011869,0.083333,7.566483,3.0,0.014349,0.5,,0.2781,1390.4671,5000.0,90.168417,20.0,8088.0,40.0
64,0.011238,15.535465,-0.361236,0.017481,0.132812,3.895466,4.0,0.014349,0.5,,0.2673,1336.4288,5000.0,90.710098,20.0,8178.0,40.0
65,0.017957,23.036022,-0.361114,0.012201,0.130208,5.777323,3.0,0.014349,0.5,,0.286,1429.909,5000.0,90.398952,20.0,8178.0,40.0
66,0.017712,12.009266,-0.360984,0.010333,0.114583,3.020389,3.0,0.014349,0.5,,0.2879,1439.5942,5000.0,90.679327,20.0,8178.0,40.0
67,0.120086,16.574432,-0.360825,0.012724,0.125,4.264055,3.0,0.014349,0.5,,0.2437,1218.6907,5000.0,93.737994,20.0,8184.0,40.0
68,0.000179,20.699874,-0.360741,0.013559,0.088542,5.175508,3.0,0.014349,0.5,,0.2673,1336.3328,5000.0,89.673566,20.0,8184.0,40.0
69,-0.025966,20.586506,-0.360714,0.010683,0.090625,5.121021,5.0,0.014349,0.5,,0.2311,1155.6587,5000.0,86.511436,20.0,8184.0,40.0
70,0.049302,15.495063,-0.360617,0.019738,0.128125,3.923429,5.0,0.014349,0.5,,0.2632,1315.7613,5000.0,89.282489,20.0,8026.0,40.0
71,0.075741,21.336852,-0.360536,0.01485,0.177083,5.410314,3.0,0.014349,0.5,,0.2405,1202.2774,5000.0,86.344865,20.0,8026.0,40.0
72,-0.052127,22.268671,-0.360416,0.0144,0.1375,5.515402,5.0,0.014349,0.5,,0.2567,1283.4369,5000.0,90.186601,20.0,8026.0,40.0
73,0.058833,32.823101,-0.360345,0.016825,0.152344,8.264968,4.0,0.014349,0.5,,0.3185,1592.252,5000.0,89.509311,20.0,8026.0,40.0
74,0.009686,26.715134,-0.360373,0.018658,0.103125,6.68883,5.0,0.014349,0.5,,0.2829,1414.3193,5000.0,90.755774,20.0,8026.0,40.0
75,0.026168,13.317412,-0.360446,0.015211,0.148438,3.355881,4.0,0.014349,0.5,,0.228,1139.8039,5000.0,88.038583,20.0,8026.0,40.0
76,-0.051059,14.184273,-0.360512,0.01761,0.167969,3.49537,4.0,0.014349,0.5,,0.2068,1034.1539,5000.0,92.995257,20.0,8026.0,40.0
77,0.074507,33.087994,-0.360643,0.015479,0.159375,8.346865,5.0,0.014349,0.5,,0.2527,1263.482,5000.0,92.201235,20.0,7945.0,40.0
78,-0.013909,61.273734,-0.360816,0.009539,0.067708,15.304884,3.0,0.014349,0.5,,0.2996,1497.9124,5000.0,88.653043,20.0,7941.0,40.0
79,-0.048326,32.16807,-0.360981,0.009752,0.10625,7.994053,5.0,0.014349,0.5,,0.2832,1416.1912,5000.0,92.424857,20.0,7990.0,40.0
80,-0.058889,48.439149,-0.361059,0.010312,0.109375,12.051259,3.0,0.014349,0.5,,0.292,1460.1673,5000.0,92.102816,20.0,8155.0,40.0
81,-0.002845,23.018824,-0.361042,0.023996,0.104167,5.752222,3.0,0.012914,0.5,,0.2815,1407.3538,5000.0,90.779568,20.0,8155.0,40.0
82,-0.006342,26.961466,-0.361019,0.019106,0.098958,6.734385,3.0,0.012914,0.5,,0.2638,1318.8219,5000.0,95.537813,20.0,8155.0,40.0
83,0.056633,15.873447,-0.361044,0.011221,0.132812,4.025356,4.0,0.012914,0.5,,0.2579,1289.3755,5000.0,90.805114,20.0,8070.0,40.0
84,0.033816,33.313659,-0.361109,0.010347,0.09375,8.362592,3.0,0.012914,0.5,,0.2803,1401.5785,5000.0,100.635723,20.0,8070.0,40.0
85,0.071793,26.940645,-0.361151,0.019679,0.13125,6.807316,5.0,0.011623,0.5,,0.2434,1216.8226,5000.0,97.323407,20.0,8070.0,40.0
86,0.00489,49.255716,-0.361165,0.013315,0.140625,12.31918,4.0,0.011623,0.5,,0.2907,1453.3401,5000.0,96.323423,20.0,8070.0,40.0
87,-0.017241,19.347514,-0.3612,0.006756,0.072917,4.819999,3.0,0.011623,0.5,,0.2479,1239.652,5000.0,92.338093,20.0,8070.0,40.0
88,-0.01787,15.561514,-0.361239,0.009718,0.113281,3.872869,4.0,0.011623,0.5,,0.2493,1246.4899,5000.0,96.478857,20.0,8070.0,40.0
89,-0.006931,29.1091,-0.361254,0.010246,0.101562,7.270706,4.0,0.011623,0.5,,0.3137,1568.7449,5000.0,93.562878,20.0,8024.0,40.0
90,-0.004154,20.418442,-0.361245,0.007341,0.072917,5.100818,3.0,0.011623,0.5,,0.2546,1272.8259,5000.0,92.810798,20.0,8024.0,40.0
91,0.10318,21.189093,-0.361209,0.010468,0.09375,5.400814,4.0,0.011623,0.5,,0.2455,1227.4875,5000.0,88.078191,20.0,8024.0,40.0
92,-0.055994,64.211711,-0.361307,0.007214,0.026042,15.997294,3.0,0.011623,0.5,,0.3117,1558.5755,5000.0,88.272682,20.0,8024.0,40.0
93,0.029816,32.890075,-0.361365,0.008655,0.075,8.252696,5.0,0.011623,0.5,,0.2846,1422.8669,5000.0,92.256262,20.0,8024.0,40.0
94,0.101334,34.255192,-0.361313,0.009856,0.09375,8.665493,4.0,0.011623,0.5,,0.2626,1312.9898,5000.0,89.76032,20.0,8024.0,40.0
95,-0.080773,31.109851,-0.361313,0.011332,0.088542,7.697051,3.0,0.011623,0.5,,0.23,1150.0188,5000.0,87.949198,20.0,8024.0,40.0
96,-0.035526,13.903455,-0.361313,0.008399,0.104167,3.4407,3.0,0.011623,0.5,,0.2436,1218.1601,5000.0,87.828777,20.0,8206.0,40.0
97,0.003298,24.495265,-0.36132,0.010241,0.0625,6.127476,2.0,0.011623,0.5,,0.2374,1187.1353,5000.0,88.601188,20.0,8206.0,40.0
98,0.035302,15.570171,-0.36134,0.010069,0.134375,3.928206,5.0,0.011623,0.5,,0.2927,1463.4912,5000.0,89.136441,20.0,8206.0,40.0
99,0.020782,17.944255,-0.361396,0.015352,0.167969,4.507208,4.0,0.011623,0.5,,0.2861,1430.5937,5000.0,87.144145,20.0,8206.0,40.0
100,-0.123742,20.233629,-0.361496,0.01194,0.114583,4.935027,3.0,0.011623,0.5,,0.2512,1256.0962,5000.0,90.497777,20.0,8206.0,40.0
101,0.119079,47.61779,-0.361568,0.009537,0.083333,12.023888,3.0,0.011623,0.5,,0.2589,1294.638,5000.0,93.401599,20.0,8206.0,40.0
102,-0.0225,38.982292,-0.361616,0.011202,0.109375,9.723435,4.0,0.011623,0.5,,0.2442,1220.8665,5000.0,87.584556,20.0,8206.0,40.0
103,0.015377,17.201041,-0.361633,0.010881,0.088542,4.315999,3.0,0.011623,0.5,,0.3051,1525.6004,5000.0,87.920333,20.0,8206.0,40.0
